read,pool,length,PC1,PC2,cluster
0032088a-ce0f-4078-995d-f39ec8d5f4ee,260526-MBTA_Da-NAS-P1,2269,-0.008345129847132857,-0.003969070058466468,3
00322b4b-79a1-4acc-b0e3-f32e73ae608a,260526-MBTA_Da-NAS-P1,1461,0.0009079195977594262,0.015440190722184012,0
003278e3-0491-4d3d-8c75-88e465827c46,260526-MBTA_Da-NAS-P1,5324,0.007903578589693061,0.014043129655040282,0
0033cf6b-2988-4854-af23-0308c9b95d99,260526-MBTA_Da-NAS-P1,2238,-0.0026899415714054745,-0.007681419048285761,1
00341c93-260b-4927-b157-816619ab2ecb,260526-MBTA_Da-NAS-P1,2927,-0.004319925807463137,-0.004415215327827616,1
0034a3aa-6872-4c0a-b84c-7721d255df79,260526-MBTA_Da-NAS-P1,1941,0.014601212319716865,-0.003958430375577755,2
00370429-be28-423d-940b-4fbbc23f24f1,260526-MBTA_Da-NAS-P1,4448,-0.00033014785994345524,-0.004013667623540263,1
00371230-485d-48b9-a337-5c4ce1fde09d,260526-MBTA_Da-NAS-P1,2839,0.0022469962990543605,0.01577843879774235,0
00394135-58b3-4a4f-8190-e68802d4eadc,260526-MBTA_Da-NAS-P1,4637,-0.003585552325216548,-0.0031227273757451096,1
0039ba20-b3ee-4fbf-8de9-8cb4345d7211,260526-MBTA_Da-NAS-P1,2437,-0.011439204702875173,-0.001083647805137347,3
0039f2b5-12b9-4a33-a7fd-dc016778a779,260526-MBTA_Da-NAS-P1,2476,0.01621640409248324,0.011377279117071065,0
003a7838-6fb3-4162-8a97-d1a8d15b3c93,260526-MBTA_Da-NAS-P1,3419,-0.001430465598432362,-0.006122599968303211,1
003c6415-5045-4b77-87f8-2219843dbbe4,260526-MBTA_Da-NAS-P1,4934,-0.006036747269029418,0.0035683897234207876,4
003c86b8-a96e-424f-b2df-7da1a396e483,260526-MBTA_Da-NAS-P1,4916,-0.005519066972964922,0.003694560884127196,4
003de915-7827-424b-b85f-8b22fbcfccab,260526-MBTA_Da-NAS-P1,3587,0.009730259128645514,-0.004944888557598098,2
003e5871-0eba-448c-b099-ce0aa29a4dd7,260526-MBTA_Da-NAS-P1,3578,-0.003432079497228873,0.004040448530455002,4
003ef25f-eec9-4eee-96d6-b1e9a2ac896a,260526-MBTA_Da-NAS-P1,2828,-0.009728884988935206,-0.001686615619289756,3
0040654d-cae1-4f59-84fc-e3df1f034953,260526-MBTA_Da-NAS-P1,6036,0.0007940360316554974,-0.0020362993371050016,1
0040ec53-0ec7-4d07-a9a4-7ca382849436,260526-MBTA_Da-NAS-P1,2315,0.003917884801130084,0.013359278622953642,0
00429dcf-2b59-4ca5-bb89-3604e1730b35,260526-MBTA_Da-NAS-P1,3301,-0.001082816632246982,-0.004504841880063722,1
0042bae1-123e-4fd6-87c7-79e0cbbb8e86,260526-MBTA_Da-NAS-P1,3594,0.003686834341146727,-0.005848490778342949,1
004359ab-23c7-46ea-89b2-68e3e15c5ab1,260526-MBTA_Da-NAS-P1,2609,0.011243391638789815,-0.0031968945411749348,2
0043ac5c-8004-41a4-90e9-17579aad7328,260526-MBTA_Da-NAS-P1,3502,0.00397681251376511,-0.006073164013328032,1
0043ed0a-7c64-4b0b-883e-dd4aa7965251,260526-MBTA_Da-NAS-P1,1975,0.0012799107839514684,0.0040722289557757994,4
0044b80e-4506-442f-b452-4ffa1a7b07b3,260526-MBTA_Da-NAS-P1,4887,-0.005031808727663804,0.004075725586160309,4
0048c52b-d829-4207-ab87-8b162e845453,260526-MBTA_Da-NAS-P1,2996,-0.012942957158582733,0.0014111785276352486,3
0049fdf2-06fd-4dab-bc5f-4e0d13651207,260526-MBTA_Da-NAS-P1,4338,-0.0013548803429410203,0.004494012071542463,4
004b71ae-df86-483a-8dd7-71c2284d68b1,260526-MBTA_Da-NAS-P1,3733,0.00042712503565857634,-0.005694707273247897,1
004bf949-d261-4b0b-86bd-57c6ec54b042,260526-MBTA_Da-NAS-P1,4555,-0.0023177058874098958,-0.003381694433148187,1
004cb499-cb5e-4fcf-8b27-7b4db1c46ca4,260526-MBTA_Da-NAS-P1,3584,0.010046639357289342,-0.005223993418763846,2
004e6ddd-a144-48bd-a281-c81d6e5ab8b9,260526-MBTA_Da-NAS-P1,2441,0.014462080282386153,0.012662350502314089,0
004f4633-be13-4024-beb3-dd53447cd70a,260526-MBTA_Da-NAS-P1,2234,-0.00902752279687646,-0.0035439360666837537,3
004ff3e4-60ad-4cbe-884b-201be59a8b98,260526-MBTA_Da-NAS-P1,2123,0.014432678860441415,-0.0030380610195139507,2
004ff5dc-3704-4c94-a1c4-df94167a0684,260526-MBTA_Da-NAS-P1,2921,-0.005353294300869033,0.003957305952021385,4
00506398-a733-4e64-8358-ea09a8b19b48,260526-MBTA_Da-NAS-P1,3680,0.008339117699681396,-0.004884848511924727,2
00519b4f-3959-4d5f-82b8-2281cf75ba79,260526-MBTA_Da-NAS-P1,3755,-0.004068301487511652,-0.0028558720262263754,1
00529ca5-1ee2-4765-80ee-2b3ea4e6c6f9,260526-MBTA_Da-NAS-P1,5552,-0.0027978608385514072,-0.0020907973484941152,1
00529e72-8652-4f20-a450-ebfbe73f0182,260526-MBTA_Da-NAS-P1,2132,-0.003247708929347834,0.002689316814773258,4
00536894-11ef-43a3-bc12-9bb3f11e8c31,260526-MBTA_Da-NAS-P1,2576,-0.006724702958054443,0.0034007721136077094,4
0055349d-ed30-4054-a7a2-26b7e135c477,260526-MBTA_Da-NAS-P1,3762,-0.004395334158301804,-0.002464280025576883,1
0055ce87-f370-47cf-b3ab-4f692eb53568,260526-MBTA_Da-NAS-P1,2968,0.023811594508491518,0.012211845342381627,0
005645b7-2405-45ef-a9ea-da9f50b61472,260526-MBTA_Da-NAS-P1,1711,-0.007045855490889422,-0.008079992823300613,1
0056573a-f589-4703-9563-c0c71b680d5f,260526-MBTA_Da-NAS-P1,4111,0.0033046247050727232,0.01425450514333467,0
0056632a-8ab7-4259-8f07-2c151bfaa995,260526-MBTA_Da-NAS-P1,3282,0.01154359346593622,-0.004200771789102949,2
0056fba6-40e2-457e-a687-91136b06131f,260526-MBTA_Da-NAS-P1,2468,-0.010536771520111888,0.004402023675036154,4
005762e3-94b0-4e8e-8d80-6467e4cfd8e9,260526-MBTA_Da-NAS-P1,4236,0.018096675115096106,0.008603940969068991,0
0058551c-62ce-43c4-a2b7-7f4c50086db7,260526-MBTA_Da-NAS-P1,2694,-0.010673189693151272,-0.00197962372452937,3
00588755-a8c6-4b7d-9fa8-01fc7d5d838a,260526-MBTA_Da-NAS-P1,3873,-0.007948264851520141,-0.0017278297687058062,3
00597e57-b128-4908-ac4c-0eee0d43ce2e,260526-MBTA_Da-NAS-P1,4251,-0.004620840460984733,0.003972342405794143,4
00598bb1-e0b0-4d42-8eaa-db9a5e8c8ee0,260526-MBTA_Da-NAS-P1,1905,-0.015520156644829896,0.002568253741684545,3
00599b91-e4f1-4333-b0d7-5cccebe822cd,260526-MBTA_Da-NAS-P1,4439,0.005019260856363901,-0.0044667434768525995,2
005aa878-f4b8-4bcb-a8ce-7446e2531f6e,260526-MBTA_Da-NAS-P1,2511,0.00976631762068667,0.000683610377242043,2
